  crn, julian, press, temp, sal, fluor, nit,
#, day, dbar, ITS-90, PSS-78, ug/l, umol/kg,
  1,   30,   10.0, 26.2697, 35.2109,  0.0560,  -9.000,
  2,   62,   10.0, 25.6832, 34.9849,  0.0793,  -9.000,
  3,   99,   10.0, 24.6181, 35.0315,  0.2356,  -9.000,
  4,  148,   10.0, 23.5353, 34.8368,  0.1414,  -9.000,
  5,  177,   10.0, 24.4434, 34.6834, -9.0000,  -9.000,
  6,  229,   10.0, 23.9832, 34.9646,  0.0804,  -9.000,
  7,  266,   10.0, 25.8351, 34.5479, -9.0000,  -9.000,
  8,  301,   10.0, 25.3818, 34.9226,  0.1039,  -9.000,
  9,  327,   10.0, 26.1998, 34.6731, -9.0000,  -9.000,
 10,  356,   10.0, 26.3613, 34.7812,  0.0880,  -9.000,
 11,  382,   10.0, 26.1927, 34.8199,  0.0841,  -9.000,
 12,  422,   10.0, 25.1242, 34.9718,  0.0728,  -9.000,
 13,  461,   10.0, 23.9720, 35.1047,  0.0373,  -9.000,
 14,  502,   10.0, 23.9784, 34.8303,  0.0392,  -9.000,
 15,  534,   10.0, 23.2377, 34.8429,  0.0942,  -9.000,
 16,  559,   10.0, 23.5594, 34.9317,  0.0277,  -9.000,
 17,  585,   10.0, 23.8681, 34.9718,  0.0416,  -9.000,
 18,  620,   10.0, 24.6024, 35.0683,  0.0380,  -9.000,
 19,  662,   10.0, 25.7108, 34.8996,  0.0426,  -9.000,
 20,  714,   10.0, 26.3942, 34.9981, -9.0000,  -9.000,
 22,  808,   10.0, 23.9365, 35.2145,  0.0992,  -9.000,
 23,  855,   10.0, 23.3298, 35.1094,  0.0693,  -9.000,
 24,  887,   10.0, 22.9466, 35.1257,  0.0497,  -9.000,
 25,  921,   10.0, 23.4176, 34.9328, -9.0000,  -9.000,
 26,  949,   10.0, 23.9778, 34.9169, -9.0000,  -9.000,
 27,  977,   10.0, 24.6180, 34.9607,  0.0949,  -9.000,
 28, 1012,   10.0, 25.5090, 34.8629,  0.0818,  -9.000,
 29, 1043,   10.0, 25.9346, 34.9295,  0.0854,  -9.000,
 30, 1082,   10.0, 26.3645, 35.0300,  0.0524,  -9.000,
 31, 1115,   10.0, 26.7112, 34.7545,  0.1203,  -9.000,
 32, 1162,   10.0, 25.6986, 34.9179,  0.1729,  -9.000,
 33, 1191,   10.0, 24.2091, 35.0056,  0.1732,  -9.000,
 34, 1232,   10.0, 23.0105, 35.0299,  0.1964,  -9.000,
 35, 1252,   10.0, 23.9005, 34.8508,  0.1055,  -9.000,
 36, 1294,   10.0, 23.7146, 35.0770,  0.0405,  -9.000,
 37, 1347,   10.0, 25.7479, 34.8269, -9.0000,  -9.000,
 38, 1373,   10.0, 25.4678, 35.1408,  0.0595,  -9.000,
 39, 1404,   10.0, 26.0696, 34.9435,  0.0644,  -9.000,
 40, 1453,   10.0, 26.3108, 35.0565,  0.1018,  -9.000,
 41, 1480,   10.0, 26.4836, 35.0416,  0.1188,  -9.000,
 42, 1515,   10.0, 25.6996, 34.7579, -9.0000,  -9.000,
 43, 1537,   10.0, 24.8631, 34.8170, -9.0000,  -9.000,
 44, 1572,   10.0, 23.0831, 35.0263,  0.1642,  -9.000,
 45, 1600,   10.0, 23.6869, 34.8838,  0.0957,  -9.000,
 46, 1657,   10.0, 23.5055, 35.0657,  0.0631,  -9.000,
 47, 1693,   10.0, 23.8798, 35.0656,  0.0850,  -9.000,
 49, 1810,   10.0, 26.4592, 35.2708,  0.0782,  -9.000,
 50, 1855,   10.0, 25.7198, 35.2882,  0.1096,  -9.000,
 51, 1937,   10.0, 22.7813, 35.1714,  0.2115,  -9.000,
 52, 1965,   10.0, 22.7510, 35.0268,  0.1983,  -9.000,
 53, 1985,   10.0, 23.6848, 35.1018,  0.0970,  -9.000,
 54, 2087,   10.0, 24.8557, 34.8375,  0.0944,  -9.000,
 55, 2123,   10.0, 25.5591, 34.9014,  0.1215,  -9.000,
 56, 2159,   10.0, 26.3303, 34.9074,  0.1065,  -9.000,
 57, 2183,   10.0, 26.4542, 34.8440,  0.0767,  -9.000,
 58, 2205,   10.0, 26.1811, 34.9233,  0.0913,  -9.000,
 59, 2240,   10.0, 25.1992, 34.9861,  0.1816,  -9.000,
 60, 2319,   10.0, 23.3903, 34.3752,  0.1008,  -9.000,
 61, 2345,   10.0, 23.1047, 34.6865,  0.1028,  -9.000,
 62, 2378,   10.0, 23.8237, 34.4874,  0.0818,  -9.000,
 63, 2409,   10.0, 23.3228, 34.7667,  0.1125,  -9.000,
 64, 2493,   10.0, 25.6497, 34.8844,  0.0575,  -9.000,
 65, 2523,   10.0, 25.9526, 34.9382,  0.0582,  -9.000,
 66, 2551,   10.0, 26.9088, 34.8921,  0.0669,  -9.000,
 67, 2582,   10.0, 26.0137, 35.0409,  0.0807,  -9.000,
 68, 2603,   10.0, 25.6717, 34.9518,  0.1070,  -9.000,
 69, 2664,   10.0, 24.7705, 34.9415,  0.0581,  -9.000,
 70, 2734,   10.0, 23.1928, 34.8478,  0.0679,  -9.000,
 71, 2762,   10.0, 24.1507, 34.7570,  0.0329,  -9.000,
 72, 2790,   10.0, 25.4160, 34.8274,  0.0446,  -9.000,
 73, 2825,   10.0, 26.3486, 34.4779,  0.0202,  -9.000,
 74, 2856,   10.0, 26.2894, 34.5935,  0.0737,  -9.000,
 75, 2881,   10.0, 26.9441, 34.7353,  0.0734,  -9.000,
 76, 2923,   10.0, 27.2781, 34.8554,  0.1172,  -9.000,
 77, 2951,   10.0, 26.5146, 35.0409,  0.0976,  -9.000,
 78, 2993,   10.0, 24.2393, 34.9632,  0.1862,  -9.000,
 79, 3021,   10.0, 23.4756, 34.9452,  0.1173,  -9.000,
 80, 3062,   10.0, 23.8915, 34.9287,  0.1272,  -9.000,
 81, 3084,   10.0, 23.2096, 35.0279,  0.0930,  -9.000,
 82, 3112,   10.0, 23.4278, 34.9679, -9.0000,  -9.000,
 83, 3140,   10.0, 24.7153, 34.8768,  0.0763,  -9.000,
 84, 3168,   10.0, 25.2935, 34.8822,  0.0473,  -9.000,
 85, 3203,   10.0, 25.5221, 35.0483,  0.0862,  -9.000,
 86, 3227,   10.0, 25.8854, 35.1154,  0.0638,  -9.000,
 87, 3281,   10.0, 26.8488, 35.1940,  0.0604,  -9.000,
 88, 3352,   10.0, 24.4571, 35.1536,  0.2414,  -9.000,
 89, 3389,   10.0, 23.3890, 35.1579,  0.0903,  -9.000,
 90, 3428,   10.0, 22.8222, 35.2442,  0.0809,  -9.000,
 91, 3455,   10.0, 24.5772, 35.1676,  0.0727,  -9.000,
 92, 3483,   10.0, 23.3046, 35.2150,  0.1704,  -9.000,
 93, 3511,   10.0, 23.1991, 35.2757,  0.0856,  -9.000,
 94, 3546,   10.0, 24.1589, 35.2850,  0.1055,  -9.000,
 95, 3574,   10.0, 24.3290, 35.3867,  0.1151,  -9.000,
 96, 3600,   10.0, 25.3521, 35.1742,  0.2080,  -9.000,
 97, 3649,   10.0, 25.5130, 35.2957,  0.0554,  -9.000,
 98, 3670,   10.0, 25.6450, 35.3596,  0.0946,  -9.000,
 99, 3693,   10.0, 25.2277, 35.4464,  0.1313,  -9.000,
100, 3721,   10.0, 23.7618, 35.2983,  0.2035,  -9.000,
101, 3756,   10.0, 23.5046, 35.2520,  0.1716,  -9.000,
102, 3792,   10.0, 23.1128, 35.3602,  0.1478,  -9.000,
103, 3819,   10.0, 23.3771, 35.1877,  0.1313,  -9.000,
104, 3847,   10.0, 22.6232, 35.3498,  0.2083,  -9.000,
105, 3873,   10.0, 23.7192, 35.3729,  0.0967,  -9.000,
106, 3938,   10.0, 25.0534, 34.9462,  0.1353,  -9.000,
107, 3968,   10.0, 25.4135, 35.2701,  0.1302,  -9.000,
108, 4031,   10.0, 25.7352, 35.1321,  0.0906,  -9.000,
109, 4056,   10.0, 25.3521, 35.3225,  0.1199,  -9.000,
110, 4092,   10.0, 24.1242, 35.2081,  0.1972,  -9.000,
111, 4142,   10.0, 22.9627, 35.3695,  0.0951,  -9.000,
112, 4169,   10.0, 23.4832, 35.1927, -9.0000,  -9.000,
113, 4197,   10.0, 23.4503, 35.3643, -9.0000,  -9.000,
114, 4225,   10.0, 23.8422, 34.9070,  0.0448,  -9.000,
115, 4254,   10.0, 24.8206, 34.9499,  0.0535,  -9.000,
116, 4281,   10.0, 25.4901, 35.1902,  0.2837,  -9.000,
117, 4316,   10.0, 25.8739, 35.3129,  0.1888,  -9.000,
118, 4344,   10.0, 25.9295, 35.4530,  0.1345,  -9.000,
119, 4400,   10.0, 25.7367, 35.3486,  0.1199,  -9.000,
120, 4443,   10.0, 24.9135, 35.0225,  0.1410,  -9.000,
121, 4463,   10.0, 24.7429, 34.9357,  0.0985,  -9.000,
122, 4491,   10.0, 24.3779, 35.0795,  0.1134,  -9.000,
123, 4519,   10.0, 23.3612, 35.3160,  0.1554,  -9.000,
124, 4554,   10.0, 23.6983, 35.0313,  0.0998,  -9.000,
125, 4582,   10.0, 23.5741, 35.1439,  0.0872,  -9.000,
126, 4610,   10.0, 23.8106, 35.2330,  0.0914,  -9.000,
127, 4639,   10.0, 24.9395, 35.2409,  0.0668,  -9.000,
128, 4666,   10.0, 26.1161, 35.1226,  0.0348,  -9.000,
129, 4694,   10.0, 25.7503, 35.2352,  0.0742,  -9.000,
130, 4749,   10.0, 26.1903, 35.3373,  0.1063,  -9.000,
131, 4770,   10.0, 25.4684, 35.4095,  0.2154,  -9.000,
132, 4795,   10.0, 25.2343, 35.2387,  0.1267,  -9.000,
133, 4822,   10.0, 24.4289, 35.2125,  0.3439,  -9.000,
134, 4855,   10.0, 23.6990, 35.3014,  0.1749,  -9.000,
135, 4891,   10.0, 23.0006, 35.2593,  0.1285,  -9.000,
136, 4911,   10.0, 22.8718, 35.3531,  0.0861,  -9.000,
137, 4980,   10.0, 24.8485, 34.8713,  0.0864,  -9.000,
138, 5019,   10.0, 25.6762, 34.9118,  0.0930,  -9.000,
139, 5079,   10.0, 26.3466, 34.9610,  0.0902,  -9.000,
140, 5119,   10.0, 26.3952, 35.0648,  0.1607,  -9.000,
141, 5147,   10.0, 25.9818, 35.1798,  0.1370,  -9.000,
142, 5168,   10.0, 25.3533, 35.2622,  0.1455,  -9.000,
143, 5192,   10.0, 24.4631, 35.3181,  0.1519,  -9.000,
144, 5221,   10.0, 23.6843, 35.3427,  0.2526,  -9.000,
145, 5261,   10.0, 23.3706, 35.3247,  0.0870,  -9.000,
146, 5292,   10.0, 23.6365, 35.3052,  0.1193,  -9.000,
